Name environmental disasters caused by human activities|cluster1|cluster2|cluster3
shrinking of the Aral Sea|Agricultural|Sea|sea damage
Salinity in Australia|Agricultural|Effects on Australia|land damage
Dirty dairying in New Zealand|Agricultural|Pollution|water pollution
Extinction of American megafauna|Biodiversity|Effects on America|species damage
Extinction of Australian megafauna|Biodiversity|Effects on Australia|species damage
Deforestation of Easter Island|Biodiversity|Cutting trees|forest damage
Destruction of the old growth forests|Biodiversity|Cutting trees|forest damage
Ontario Minamata disease in Canada|Industrial|disease|disease
Love Canal toxic waste site|Industrial|Pollution|water pollution
Sandoz chemical spill into the Rhine river|Industrial|Pollution|water pollution
